Date,market_value,balance,stock_owned,price,action,amount
2023-08-11,100276.86683538133,100276.86683538133,0,136.57777404785156,buy,0
2023-08-14,100276.86683538133,100276.86683538133,0,135.42308044433594,buy,0
2023-08-15,100276.86683538133,100276.86683538133,0,135.38491821289062,buy,0
2023-08-16,100276.86683538133,100276.86683538133,0,134.2111358642578,buy,0
2023-08-17,100276.86683538133,100276.86683538133,0,134.230224609375,sell,0
2023-08-18,100276.86683538133,100276.86683538133,0,134.94595336914062,buy,0
2023-08-21,100276.86683538133,100276.86683538133,0,135.77618408203125,buy,0
2023-08-22,100276.86683538133,100276.86683538133,0,135.02230834960938,sell,0
2023-08-23,100276.86683538133,100276.86683538133,0,136.85452270507812,sell,0
2023-08-24,100276.86683538133,100276.86683538133,0,136.9881134033203,sell,0
2023-08-25,100276.86683538133,100276.86683538133,0,138.70584106445312,sell,0
2023-08-28,100276.86683538133,100276.86683538133,0,139.34523010253906,buy,0
2023-08-29,100276.86683538133,100276.86683538133,0,139.7555694580078,buy,0
2023-08-30,100276.86683538133,100276.86683538133,0,140.1468048095703,sell,0
2023-08-31,100276.86683538133,100276.86683538133,0,140.11819458007812,sell,0
2023-09-01,100276.86683538133,100276.86683538133,0,141.1774444580078,buy,0
2023-09-05,100276.86683538133,100276.86683538133,0,141.35877990722656,sell,0
2023-09-06,100276.86683538133,100276.86683538133,0,141.29196166992188,sell,0
2023-09-07,100276.86683538133,100276.86683538133,0,140.77664184570312,buy,0
2023-09-08,100276.86683538133,100276.86683538133,0,140.9293212890625,sell,0
2023-09-11,100276.86683538133,100276.86683538133,0,141.5973358154297,sell,0
2023-09-12,100276.86683538133,100276.86683538133,0,139.6124267578125,sell,0
2023-09-13,100276.86683538133,100276.86683538133,0,139.85098266601562,buy,0
2023-09-14,100276.86683538133,100276.86683538133,0,140.61441040039062,buy,0
2023-09-15,100276.86683538133,100276.86683538133,0,139.31658935546875,sell,0
2023-09-18,100276.86683538133,100276.86683538133,0,138.45770263671875,buy,0
2023-09-19,100276.86683538133,100276.86683538133,0,139.82237243652344,sell,0
2023-09-20,100276.86683538133,100276.86683538133,0,142.98104858398438,sell,0
2023-09-21,100276.86683538133,100276.86683538133,0,140.64305114746094,sell,0
2023-09-22,100276.86683538133,100276.86683538133,0,140.19454956054688,buy,0
2023-09-25,100276.86683538133,100276.86683538133,0,139.7841796875,sell,0
2023-09-26,100276.86683538133,100276.86683538133,0,136.6923065185547,buy,0
2023-09-27,100276.86683538133,100276.86683538133,0,136.62550354003906,buy,0
2023-09-28,100276.86683538133,100276.86683538133,0,135.108154296875,buy,0
2023-09-29,100276.86683538133,100276.86683538133,0,133.88668823242188,buy,0
2023-10-02,100276.86683538133,100276.86683538133,0,134.36383056640625,buy,0
2023-10-03,100276.86683538133,100276.86683538133,0,133.97256469726562,buy,0
2023-10-04,100276.86683538133,100276.86683538133,0,134.62149047851562,buy,0
2023-10-05,100276.86683538133,100276.86683538133,0,135.05091857910156,sell,0
2023-10-06,100276.86683538133,100276.86683538133,0,135.53759765625,buy,0
2023-10-09,100276.86683538133,100276.86683538133,0,135.6998291015625,buy,0
2023-10-10,100276.86683538133,100276.86683538133,0,135.61395263671875,sell,0
2023-10-11,100276.86683538133,100276.86683538133,0,136.68275451660156,buy,0
2023-10-12,100276.86683538133,100276.86683538133,0,134.78372192382812,buy,0
2023-10-13,100276.86683538133,100276.86683538133,0,132.13079833984375,sell,0
2023-10-16,100276.86683538133,100276.86683538133,0,132.84649658203125,sell,0
2023-10-17,100276.86683538133,100276.86683538133,0,133.90576171875,buy,0
2023-10-18,100276.86683538133,100276.86683538133,0,133.57176208496094,buy,0
2023-10-19,100276.86683538133,100276.86683538133,0,131.70135498046875,buy,0
2023-10-20,100276.86683538133,100276.86683538133,0,130.89019775390625,sell,0
2023-10-23,100276.86683538133,100276.86683538133,0,130.1458740234375,buy,0
2023-10-24,100276.86683538133,100276.86683538133,0,131.4914093017578,buy,0
2023-10-25,100276.86683538133,100276.86683538133,0,130.8138885498047,buy,0
2023-10-26,100276.86683538133,100276.86683538133,0,137.1885223388672,buy,0
2023-10-27,100276.86683538133,100276.86683538133,0,136.00521850585938,buy,0
2023-10-30,100276.86683538133,100276.86683538133,0,136.11019897460938,buy,0
2023-10-31,100276.86683538133,100276.86683538133,0,138.02830505371094,sell,0
2023-11-01,100276.86683538133,100276.86683538133,0,138.75355529785156,buy,0
2023-11-02,100276.86683538133,100276.86683538133,0,140.28994750976562,sell,0
2023-11-03,100276.86683538133,100276.86683538133,0,141.13926696777344,sell,0
2023-11-06,100276.86683538133,100276.86683538133,0,142.16036987304688,buy,0
2023-11-07,100276.86683538133,100276.86683538133,0,142.02674865722656,buy,0
2023-11-08,100276.86683538133,100276.86683538133,0,141.2633514404297,sell,0
2023-11-09,100276.86683538133,100276.86683538133,0,141.50460815429688,buy,0
2023-11-10,100276.86683538133,100276.86683538133,0,143.8208770751953,buy,0
2023-11-13,100276.86683538133,100276.86683538133,0,142.93299865722656,sell,0
2023-11-14,100276.86683538133,100276.86683538133,0,145.16238403320312,sell,0
2023-11-15,100276.86683538133,100276.86683538133,0,147.25669860839844,buy,0
2023-11-16,100276.86683538133,100276.86683538133,0,147.7199249267578,sell,0
2023-11-17,100276.86683538133,100276.86683538133,0,147.55584716796875,buy,0
2023-11-20,100276.86683538133,100276.86683538133,0,148.9649200439453,buy,0
2023-11-21,100276.86683538133,100276.86683538133,0,148.540283203125,buy,0
2023-11-22,100276.86683538133,100276.86683538133,0,149.7177276611328,sell,0
2023-11-24,100276.86683538133,100276.86683538133,0,149.76596069335938,sell,0
2023-11-27,100276.86683538133,100276.86683538133,0,150.14234924316406,buy,0
2023-11-28,100276.86683538133,100276.86683538133,0,150.2195587158203,sell,0
2023-11-29,100276.86683538133,100276.86683538133,0,150.9530487060547,sell,0
2023-11-30,100276.86683538133,100276.86683538133,0,153.02804565429688,buy,0
2023-12-01,100276.86683538133,100276.86683538133,0,154.94862365722656,sell,0
2023-12-04,100276.86683538133,100276.86683538133,0,155.4794158935547,sell,0
2023-12-05,100276.86683538133,100276.86683538133,0,155.75929260253906,sell,0
2023-12-06,100276.86683538133,100276.86683538133,0,154.68801879882812,sell,0
2023-12-07,100276.86683538133,100276.86683538133,0,154.630126953125,sell,0
2023-12-08,100276.86683538133,100276.86683538133,0,156.30941772460938,buy,0
2023-12-11,100276.86683538133,100276.86683538133,0,157.80532836914062,sell,0
2023-12-12,100276.86683538133,100276.86683538133,0,158.9635009765625,buy,0
2023-12-13,100276.86683538133,100276.86683538133,0,157.9114990234375,buy,0
2023-12-14,100276.86683538133,100276.86683538133,0,157.2262725830078,sell,0
2023-12-15,100276.86683538133,100276.86683538133,0,156.5699920654297,buy,0
2023-12-18,100276.86683538133,100276.86683538133,0,157.06222534179688,sell,0
2023-12-19,100276.86683538133,100276.86683538133,0,155.92337036132812,buy,0
2023-12-20,100276.86683538133,100276.86683538133,0,154.46607971191406,buy,0
2023-12-21,100276.86683538133,100276.86683538133,0,155.1705780029297,buy,0
2023-12-22,100276.86683538133,100276.86683538133,0,156.48313903808594,sell,0
2023-12-26,100276.86683538133,100276.86683538133,0,157.51580810546875,sell,0
2023-12-27,100276.86683538133,100276.86683538133,0,157.75709533691406,buy,0
2023-12-28,100276.86683538133,100276.86683538133,0,158.03695678710938,buy,0
2023-12-29,100276.86683538133,100276.86683538133,0,157.8439483642578,sell,0
